id,name,lat,lon,country,line,tiv_usd,bi_tiv_usd,hub
LOC00118,Dubai Commercial #0118,25.1407,55.5691,United Arab Emirates,Commercial Property,123078000,43088000,Dubai
LOC00119,Maui High-Net-Worth #0119,20.7433,-156.3381,United States,High-Net-Worth Homeowners,4799000,0,Maui
LOC00120,Shanghai Commercial #0120,31.2801,121.3512,China,Commercial Property,51327000,29925000,Shanghai
LOC00121,Johannesburg Commercial #0121,-26.1552,27.9813,South Africa,Commercial Property,37080000,12581000,Johannesburg
LOC00122,Sydney High-Net-Worth #0122,-33.8295,151.3807,Australia,High-Net-Worth Homeowners,7826000,0,Sydney
LOC00123,Manila Commercial #0123,14.6613,120.8558,Philippines,Commercial Property,49460000,23201000,Manila
LOC00124,New York Commercial #0124,40.7896,-73.712,United States,Commercial Property,14914000,8904000,New York
LOC00125,Kinshasa Commercial #0125,-4.3994,15.2558,Democratic Republic of the Congo,Commercial Property,7093000,2753000,Kinshasa
LOC00126,Valencia Marine #0126,39.3657,-0.823,Spain,Marine Cargo,11755000,0,Valencia
LOC00127,Tokyo Commercial #0127,35.7324,139.5838,Japan,Commercial Property,31022000,9141000,Tokyo
LOC00128,Johannesburg Commercial #0128,-26.1941,28.0557,South Africa,Commercial Property,14255000,7644000,Johannesburg
LOC00129,Chennai Marine #0129,12.9432,80.3008,India,Marine Cargo,10741000,0,Chennai
LOC00130,Puerto Vallarta Commercial #0130,20.9464,-105.3715,Mexico,Commercial Property,27176000,11169000,Puerto Vallarta
LOC00131,Tokyo Commercial #0131,35.7284,139.6601,Japan,Commercial Property,38542000,8958000,Tokyo
LOC00132,London Commercial #0132,51.5652,-0.1059,United Kingdom,Commercial Property,16588000,6660000,London
LOC00133,San Diego Marine #0133,32.7335,-117.1077,United States,Marine Cargo,2936000,0,San Diego
LOC00134,Surabaya Commercial #0134,-7.4829,112.7664,Indonesia,Commercial Property,30586000,12154000,Surabaya
LOC00135,Lagos Commercial #0135,6.4658,3.2934,Nigeria,Commercial Property,5736000,2224000,Lagos
LOC00136,Houston Commercial #0136,29.754,-95.3658,United States,Commercial Property,26843000,9728000,Houston
LOC00137,Cabo San Lucas High-Net-Worth #0137,22.8319,-109.831,Mexico,High-Net-Worth Homeowners,1573000,0,Cabo San Lucas
LOC00138,Miami High-Net-Worth #0138,25.8081,-80.0791,United States,High-Net-Worth Homeowners,4171000,0,Miami
LOC00139,Mexico City Commercial #0139,19.2871,-99.0945,Mexico,Commercial Property,16529000,4488000,Mexico City
LOC00140,Goma Marine #0140,-1.7248,29.2085,Democratic Republic of the Congo,Marine Cargo,16582000,0,Goma
LOC00141,Manila Commercial #0141,14.6066,121.0719,Philippines,Commercial Property,20052000,10763000,Manila
LOC00142,Miami High-Net-Worth #0142,25.7609,-80.1895,United States,High-Net-Worth Homeowners,8927000,0,Miami
LOC00143,Los Angeles Commercial #0143,34.0745,-118.2903,United States,Commercial Property,22091000,9359000,Los Angeles
LOC00144,Boston Commercial #0144,42.2146,-70.9986,United States,Commercial Property,49300000,27426000,Boston
LOC00145,Shanghai High-Net-Worth #0145,31.1606,121.5765,China,High-Net-Worth Homeowners,5768000,0,Shanghai
LOC00146,Praia Commercial #0146,14.9687,-23.4938,Cape Verde,Commercial Property,8758000,2000000,Praia
LOC00147,Acapulco High-Net-Worth #0147,16.8018,-99.7549,Mexico,High-Net-Worth Homeowners,1623000,0,Acapulco
LOC00148,Tampa Commercial #0148,27.9127,-82.2445,United States,Commercial Property,34798000,19040000,Tampa
LOC00149,San Juan Commercial #0149,18.4434,-65.8609,Puerto Rico,Commercial Property,148367000,80607000,San Juan
LOC00150,Concepcion Marine #0150,-36.7793,-72.9573,Chile,Marine Cargo,14189000,0,Concepcion
LOC00151,Maui Commercial #0151,20.7937,-156.3564,United States,Commercial Property,70396000,31628000,Maui
LOC00152,Chennai Marine #0152,13.0368,80.1729,India,Marine Cargo,8752000,0,Chennai
LOC00153,Valencia Commercial #0153,39.4485,-0.4238,Spain,Commercial Property,8279000,3177000,Valencia
LOC00154,New Orleans Marine #0154,29.9391,-90.1979,United States,Marine Cargo,12994000,0,New Orleans
LOC00155,Houston Commercial #0155,29.6975,-95.5159,United States,Commercial Property,28004000,7743000,Houston
LOC00156,Milan Energy #0156,45.4875,9.0842,Italy,Energy,260517000,0,Milan
LOC00157,New Orleans Energy #0157,29.9731,-90.1231,United States,Energy,28138000,0,New Orleans
LOC00158,Houston Commercial #0158,29.6875,-95.4435,United States,Commercial Property,58713000,22159000,Houston
LOC00159,Miami High-Net-Worth #0159,25.7071,-80.2027,United States,High-Net-Worth Homeowners,772000,0,Miami
LOC00160,San Juan Commercial #0160,18.4267,-65.9898,Puerto Rico,Commercial Property,56579000,18225000,San Juan
LOC00161,Honolulu Commercial #0161,21.3628,-157.6136,United States,Commercial Property,37229000,19852000,Honolulu
LOC00162,Mexico City Commercial #0162,19.4596,-99.126,Mexico,Commercial Property,53552000,12074000,Mexico City
LOC00163,Rotterdam Commercial #0163,51.9756,4.5689,Netherlands,Commercial Property,50229000,26741000,Rotterdam
LOC00164,Los Angeles High-Net-Worth #0164,33.891,-117.9674,United States,High-Net-Worth Homeowners,2493000,0,Los Angeles
LOC00165,Manila High-Net-Worth #0165,14.4826,120.9247,Philippines,High-Net-Worth Homeowners,3350000,0,Manila
LOC00166,New York Commercial #0166,40.8471,-73.9396,United States,Commercial Property,108773000,29035000,New York
LOC00167,Manzanillo Commercial #0167,19.0525,-104.296,Mexico,Commercial Property,18130000,8498000,Manzanillo
LOC00168,London High-Net-Worth #0168,51.4197,0.0641,United Kingdom,High-Net-Worth Homeowners,4778000,0,London
LOC00169,Valencia Marine #0169,39.3508,-0.4391,Spain,Marine Cargo,2422000,0,Valencia
LOC00170,Shenzhen Commercial #0170,22.5435,114.0551,China,Commercial Property,7747000,3054000,Shenzhen
LOC00171,Miami Commercial #0171,25.8295,-80.085,United States,Commercial Property,80947000,38721000,Miami
LOC00172,Maui High-Net-Worth #0172,20.6986,-156.1416,United States,High-Net-Worth Homeowners,19382000,0,Maui
LOC00173,Cabo San Lucas Commercial #0173,22.8929,-109.9101,Mexico,Commercial Property,45658000,22780000,Cabo San Lucas
LOC00174,Concepcion Commercial #0174,-36.7927,-72.7856,Chile,Commercial Property,20200000,6739000,Concepcion
LOC00175,New Orleans Commercial #0175,29.7822,-90.2793,United States,Commercial Property,27872000,15145000,New Orleans
LOC00176,Santiago Commercial #0176,-33.4156,-70.8251,Chile,Commercial Property,14735000,6707000,Santiago
LOC00177,Hong Kong Commercial #0177,22.6293,114.2158,China,Commercial Property,21024000,8149000,Hong Kong
LOC00178,Tokyo Commercial #0178,35.7006,139.824,Japan,Commercial Property,12115000,5005000,Tokyo
LOC00179,Miami High-Net-Worth #0179,25.793,-80.0463,United States,High-Net-Worth Homeowners,9866000,0,Miami
LOC00180,Hamburg Commercial #0180,53.4582,10.0024,Germany,Commercial Property,46963000,26700000,Hamburg
LOC00181,Mazatlan Marine #0181,23.3553,-106.2885,Mexico,Marine Cargo,7893000,0,Mazatlan
LOC00182,Shanghai Marine #0182,31.2271,121.469,China,Marine Cargo,5418000,0,Shanghai
LOC00183,San Juan High-Net-Worth #0183,18.4649,-66.1061,Puerto Rico,High-Net-Worth Homeowners,9366000,0,San Juan
LOC00184,Rotterdam Commercial #0184,51.9567,4.4845,Netherlands,Commercial Property,29813000,16547000,Rotterdam
LOC00185,Lagos Commercial #0185,6.5236,3.4287,Nigeria,Commercial Property,39225000,19020000,Lagos
LOC00186,Johannesburg High-Net-Worth #0186,-26.2276,28.0524,South Africa,High-Net-Worth Homeowners,2964000,0,Johannesburg
LOC00187,Kingston Commercial #0187,17.7746,-76.7064,Jamaica,Commercial Property,13925000,7464000,Kingston
LOC00188,Tokyo Commercial #0188,35.8608,139.494,Japan,Commercial Property,19575000,6743000,Tokyo
LOC00189,Lima High-Net-Worth #0189,-12.4117,-76.8406,Peru,High-Net-Worth Homeowners,3147000,0,Lima
LOC00190,Tokyo Commercial #0190,35.8043,139.9163,Japan,Commercial Property,84782000,36101000,Tokyo
LOC00191,Mexico City Commercial #0191,19.4575,-99.1226,Mexico,Commercial Property,31915000,17932000,Mexico City
LOC00192,New York Commercial #0192,40.813,-73.9021,United States,Commercial Property,16342000,6290000,New York
LOC00193,Miami Commercial #0193,25.7563,-80.1334,United States,Commercial Property,27150000,15168000,Miami
LOC00194,Mexico City Commercial #0194,19.4353,-99.1408,Mexico,Commercial Property,31803000,10132000,Mexico City
LOC00195,Istanbul Commercial #0195,40.9975,29.2803,Türkiye,Commercial Property,10594000,4230000,Istanbul
LOC00196,Sydney Commercial #0196,-33.8166,151.2853,Australia,Commercial Property,12862000,3543000,Sydney
LOC00197,Shanghai Commercial #0197,31.0435,121.4977,China,Commercial Property,32596000,10878000,Shanghai
LOC00198,New Orleans Marine #0198,29.8817,-90.1009,United States,Marine Cargo,7381000,0,New Orleans
LOC00199,Tokyo High-Net-Worth #0199,35.7536,139.7876,Japan,High-Net-Worth Homeowners,4348000,0,Tokyo
LOC00200,Osaka Commercial #0200,34.8362,135.4527,Japan,Commercial Property,19274000,10249000,Osaka
LOC00201,New York Commercial #0201,40.6652,-73.8871,United States,Commercial Property,30465000,6195000,New York
LOC00202,Acapulco High-Net-Worth #0202,16.8279,-100.0401,Mexico,High-Net-Worth Homeowners,5912000,0,Acapulco
LOC00203,Charleston Marine #0203,32.7421,-80.0144,United States,Marine Cargo,22136000,0,Charleston
LOC00204,Hong Kong Commercial #0204,22.3015,114.2853,China,Commercial Property,77172000,24114000,Hong Kong
LOC00205,New York Commercial #0205,40.7108,-74.0088,United States,Commercial Property,32457000,19306000,New York
LOC00206,Istanbul High-Net-Worth #0206,40.9589,29.008,Türkiye,High-Net-Worth Homeowners,5329000,0,Istanbul
LOC00207,London High-Net-Worth #0207,51.8004,-0.0072,United Kingdom,High-Net-Worth Homeowners,2893000,0,London
LOC00208,Puerto Vallarta Commercial #0208,20.8119,-105.2274,Mexico,Commercial Property,14472000,2908000,Puerto Vallarta
LOC00209,Santiago Commercial #0209,-33.4651,-70.7024,Chile,Commercial Property,55457000,22436000,Santiago
LOC00210,Istanbul Commercial #0210,41.0277,29.1038,Türkiye,Commercial Property,47528000,17952000,Istanbul
LOC00211,Houston Commercial #0211,29.6749,-95.3866,United States,Commercial Property,50079000,26580000,Houston
LOC00212,Bogota Commercial #0212,4.7598,-74.0388,Colombia,Commercial Property,65747000,33866000,Bogota
LOC00213,Dubai Commercial #0213,25.1979,55.1308,United Arab Emirates,Commercial Property,4597000,1164000,Dubai
LOC00214,Naha Okinawa Commercial #0214,26.1755,127.6468,Japan,Commercial Property,7887000,4496000,Naha Okinawa
LOC00215,Manila Commercial #0215,14.4842,120.9877,Philippines,Commercial Property,38189000,8708000,Manila
LOC00216,Maui High-Net-Worth #0216,20.6331,-156.4784,United States,High-Net-Worth Homeowners,5914000,0,Maui
LOC00217,Lima High-Net-Worth #0217,-11.9941,-77.0305,Peru,High-Net-Worth Homeowners,1833000,0,Lima
LOC00218,Acapulco Commercial #0218,16.8552,-99.8775,Mexico,Commercial Property,71959000,19424000,Acapulco
LOC00219,San Juan High-Net-Worth #0219,18.5158,-66.0016,Puerto Rico,High-Net-Worth Homeowners,1654000,0,San Juan
LOC00220,Manzanillo Commercial #0220,19.0842,-104.2495,Mexico,Commercial Property,35761000,21169000,Manzanillo
LOC00221,La Paz BCS Marine #0221,24.0321,-110.4858,Mexico,Marine Cargo,3140000,0,La Paz BCS
LOC00222,Johannesburg Energy #0222,-26.0744,28.0585,South Africa,Energy,126006000,0,Johannesburg
LOC00223,San Juan Commercial #0223,18.5501,-66.3265,Puerto Rico,Commercial Property,32603000,16841000,San Juan
LOC00224,Miami Marine #0224,25.7006,-80.3625,United States,Marine Cargo,2494000,0,Miami
LOC00225,Tokyo Commercial #0225,35.7606,139.5915,Japan,Commercial Property,5566000,3001000,Tokyo
LOC00226,Istanbul Commercial #0226,40.9856,28.9796,Türkiye,Commercial Property,30249000,6928000,Istanbul
LOC00227,Tampa Commercial #0227,27.9787,-82.4179,United States,Commercial Property,15748000,8414000,Tampa
LOC00228,Praia Commercial #0228,14.6593,-23.428,Cape Verde,Commercial Property,16042000,7313000,Praia
LOC00229,New York Commercial #0229,41.0738,-73.7612,United States,Commercial Property,63861000,31332000,New York
LOC00230,Miami High-Net-Worth #0230,25.756,-80.2008,United States,High-Net-Worth Homeowners,3217000,0,Miami
LOC00231,Kaohsiung Commercial #0231,22.7609,120.4412,Taiwan,Commercial Property,32358000,18927000,Kaohsiung
LOC00232,Los Angeles High-Net-Worth #0232,34.0578,-118.2549,United States,High-Net-Worth Homeowners,1843000,0,Los Angeles
LOC00233,San Francisco Commercial #0233,37.847,-122.4461,United States,Commercial Property,83767000,49063000,San Francisco
LOC00234,London Commercial #0234,51.6562,-0.164,United Kingdom,Commercial Property,20343000,6919000,London
LOC00235,Miami Commercial #0235,25.8548,-80.3708,United States,Commercial Property,24614000,7749000,Miami
LOC00236,Houston Commercial #0236,29.7536,-95.453,United States,Commercial Property,5778000,1957000,Houston
LOC00237,Honolulu Commercial #0237,21.2751,-157.8672,United States,Commercial Property,13166000,6514000,Honolulu
LOC00238,Los Angeles Commercial #0238,34.0917,-118.165,United States,Commercial Property,39018000,20328000,Los Angeles
LOC00239,Kona / Hilo Marine #0239,19.6186,-156.0312,United States,Marine Cargo,1113000,0,Kona / Hilo
LOC00240,Istanbul Commercial #0240,41.0145,28.9832,Türkiye,Commercial Property,8189000,2216000,Istanbul
LOC00241,New York Commercial #0241,40.7141,-74.0167,United States,Commercial Property,17311000,6855000,New York
LOC00242,Tampa Commercial #0242,27.9159,-82.381,United States,Commercial Property,60653000,30904000,Tampa
LOC00243,London Commercial #0243,51.6876,-0.0515,United Kingdom,Commercial Property,54735000,16562000,London
LOC00244,Boston Energy #0244,42.0052,-71.2877,United States,Energy,47885000,0,Boston
LOC00245,Puerto Vallarta Commercial #0245,20.5596,-105.2822,Mexico,Commercial Property,76145000,29692000,Puerto Vallarta
LOC00246,Hong Kong Commercial #0246,22.4639,114.1317,China,Commercial Property,21867000,7233000,Hong Kong
LOC00247,Los Angeles Commercial #0247,34.1115,-118.1887,United States,Commercial Property,15936000,5255000,Los Angeles
LOC00248,Mumbai High-Net-Worth #0248,19.2516,72.7737,India,High-Net-Worth Homeowners,7650000,0,Mumbai
LOC00249,Hamburg Commercial #0249,53.7466,9.709,Germany,Commercial Property,15759000,3515000,Hamburg
